Index,Date,Airline,Flight_Num,Origin,Destination,Air_Time,Distance,Dep_Time,Hour,Delay,Cancelled (Y/N)
8026,1/1/2018,OO,5602,ORD,ASE,148,1013,19:38,19,8,0
14985,1/1/2018,AA,2704,ORD,ATL,81,606,19:13,19,8,0
5460,1/1/2018,MQ,3973,ORD,MEM,74,491,20:17,20,8,0
13511,1/1/2018,YX,3709,ORD,CMH,51,296,21:03,21,8,0
15512,1/1/2018,AA,1569,ORD,BOS,107,867,21:50,21,8,0
4858,1/1/2018,MQ,3562,ORD,TOL,35,213,8:44,8,9,0
1520,1/1/2018,UA,246,ORD,TPA,131,1012,17:43,17,9,0
15290,1/1/2018,AA,352,ORD,LGA,95,733,18:39,18,9,0
1541,1/1/2018,UA,226,ORD,BWI,88,622,21:29,21,9,0
3692,1/1/2018,EV,4187,ORD,RIC,85,642,21:04,21,9,0
8400,1/1/2018,VX,1201,ORD,SFO,262,1846,7:10,7,10,0
2981,1/1/2018,B6,1012,ORD,BOS,102,867,9:50,9,10,0
15818,1/1/2018,AA,1333,ORD,MCO,130,1005,9:00,9,10,0
180,1/1/2018,UA,2032,ORD,SRQ,136,1050,10:40,10,10,0
5426,1/1/2018,MQ,3919,ORD,ATW,32,160,12:05,12,10,0
15605,1/1/2018,AA,1651,ORD,PHL,95,678,12:05,12,10,0
5306,1/1/2018,MQ,3735,ORD,ELP,164,1236,13:45,13,10,0
4838,1/1/2018,MQ,3542,ORD,SYR,79,607,15:07,15,10,0
1018,1/1/2018,UA,692,ORD,LGA,97,733,18:10,18,10,0
445,1/1/2018,UA,1742,ORD,SFO,228,1846,19:25,19,10,0
1211,1/1/2018,UA,515,ORD,SMF,230,1781,19:37,19,10,0
4846,1/1/2018,MQ,3552,ORD,DBQ,28,147,20:35,20,10,0
55,1/1/2018,UA,2161,ORD,MCO,126,1005,21:23,21,10,0
7575,1/1/2018,OO,5070,ORD,PAH,48,342,21:25,21,10,0
1242,1/1/2018,UA,490,ORD,LAX,232,1744,6:31,6,11,0
14273,1/1/2018,AA,2265,ORD,FLL,161,1182,7:56,7,11,0
13446,1/1/2018,YX,3635,ORD,PIT,63,413,10:43,10,11,0
5027,1/1/2018,MQ,3268,ORD,ATL,83,606,15:31,15,11,0
14398,1/1/2018,AA,2387,ORD,BOS,113,867,15:16,15,11,0
8109,1/1/2018,OO,5705,ORD,COS,142,911,16:41,16,11,0
